periodo,seccion,indicador,entidad,valor
2026-03,CALIDAD DE ACTIVOS,Provisiones / Créditos Atrasados,Alfin Banco,203.39000000000001
2026-03,CALIDAD DE ACTIVOS,Provisiones / Créditos Atrasados,B. ICBC,153.82
2026-03,CALIDAD DE ACTIVOS,Provisiones / Créditos Atrasados,Bank of China,0.0
2026-03,CALIDAD DE ACTIVOS,Provisiones / Créditos Atrasados,B. BCI Perú,225.45000000000002
2026-03,CALIDAD DE ACTIVOS,Provisiones / Créditos Atrasados,Compartamos Banco,177.06
2026-03,CALIDAD DE ACTIVOS,Provisiones / Créditos Atrasados,Santander Consumer Bank,391.78000000000003
2026-03,CALIDAD DE ACTIVOS,Cartera Atrasada Ajustada **,B. BBVA Perú,4.692615161448648
2026-03,CALIDAD DE ACTIVOS,Cartera Atrasada Ajustada **,BANCOM,6.50611679431298
2026-03,CALIDAD DE ACTIVOS,Cartera Atrasada Ajustada **,B. De Crédito del Perú (con sucursales en el exterior),4.411261478068385
2026-03,CALIDAD DE ACTIVOS,Cartera Atrasada Ajustada **,B. Pichincha,11.726261834594741
2026-03,CALIDAD DE ACTIVOS,Cartera Atrasada Ajustada **,B. Interamericano de Finanzas,4.357187184796615
2026-03,CALIDAD DE ACTIVOS,Cartera Atrasada Ajustada **,Scotiabank Perú,5.055044073046545
2026-03,CALIDAD DE ACTIVOS,Cartera Atrasada Ajustada **,Citibank,0.0
2026-03,CALIDAD DE ACTIVOS,Cartera Atrasada Ajustada **,Interbank,4.572954348243727
2026-03,CALIDAD DE ACTIVOS,Cartera Atrasada Ajustada **,Mibanco,9.974597647466581
2026-03,CALIDAD DE ACTIVOS,Cartera Atrasada Ajustada **,B. GNB,3.5274087346134846
2026-03,CALIDAD DE ACTIVOS,Cartera Atrasada Ajustada **,B. Falabella Perú,13.081278170826756
2026-03,CALIDAD DE ACTIVOS,Cartera Atrasada Ajustada **,B. Santander Perú,2.656129753193587
2026-03,CALIDAD DE ACTIVOS,Cartera Atrasada Ajustada **,B. Ripley,14.126166740883098
2026-03,CALIDAD DE ACTIVOS,Cartera Atrasada Ajustada **,Alfin Banco,10.31741456023787
2026-03,CALIDAD DE ACTIVOS,Cartera Atrasada Ajustada **,B. ICBC,1.1737250623499373
2026-03,CALIDAD DE ACTIVOS,Cartera Atrasada Ajustada **,Bank of China,0.0
2026-03,CALIDAD DE ACTIVOS,Cartera Atrasada Ajustada **,B. BCI Perú,0.7181850069192023
2026-03,CALIDAD DE ACTIVOS,Cartera Atrasada Ajustada **,Compartamos Banco,11.903201670658499
2026-03,CALIDAD DE ACTIVOS,Cartera Atrasada Ajustada **,Santander Consumer Bank,12.864397785900541
2026-03,CALIDAD DE ACTIVOS,Cartera de Alto Riesgo Ajustada ***,B. BBVA Perú,6.502783415040107
2026-03,CALIDAD DE ACTIVOS,Cartera de Alto Riesgo Ajustada ***,BANCOM,9.422346012633685
2026-03,CALIDAD DE ACTIVOS,Cartera de Alto Riesgo Ajustada ***,B. De Crédito del Perú (con sucursales en el exterior),5.763599162705392
2026-03,CALIDAD DE ACTIVOS,Cartera de Alto Riesgo Ajustada ***,B. Pichincha,13.913463397171332
2026-03,CALIDAD DE ACTIVOS,Cartera de Alto Riesgo Ajustada ***,B. Interamericano de Finanzas,5.666217594344394
2026-03,CALIDAD DE ACTIVOS,Cartera de Alto Riesgo Ajustada ***,Scotiabank Perú,9.207143037313465
2026-03,CALIDAD DE ACTIVOS,Cartera de Alto Riesgo Ajustada ***,Citibank,0.0
2026-03,CALIDAD DE ACTIVOS,Cartera de Alto Riesgo Ajustada ***,Interbank,5.417577153291954
2026-03,CALIDAD DE ACTIVOS,Cartera de Alto Riesgo Ajustada ***,Mibanco,10.881983273248197
2026-03,CALIDAD DE ACTIVOS,Cartera de Alto Riesgo Ajustada ***,B. GNB,4.0991976693219
2026-03,CALIDAD DE ACTIVOS,Cartera de Alto Riesgo Ajustada ***,B. Falabella Perú,14.060060000007821
2026-03,CALIDAD DE ACTIVOS,Cartera de Alto Riesgo Ajustada ***,B. Santander Perú,5.205619372775664
2026-03,CALIDAD DE ACTIVOS,Cartera de Alto Riesgo Ajustada ***,B. Ripley,15.719447469150758
2026-03,CALIDAD DE ACTIVOS,Cartera de Alto Riesgo Ajustada ***,Alfin Banco,11.118206933270079
2026-03,CALIDAD DE ACTIVOS,Cartera de Alto Riesgo Ajustada ***,B. ICBC,1.1737250623499373
2026-03,CALIDAD DE ACTIVOS,Cartera de Alto Riesgo Ajustada ***,Bank of China,0.0
2026-03,CALIDAD DE ACTIVOS,Cartera de Alto Riesgo Ajustada ***,B. BCI Perú,0.7181850069192023
2026-03,CALIDAD DE ACTIVOS,Cartera de Alto Riesgo Ajustada ***,Compartamos Banco,12.013477023893584
2026-03,CALIDAD DE ACTIVOS,Cartera de Alto Riesgo Ajustada ***,Santander Consumer Bank,17.9479730046867
2026-03,EFICIENCIA Y GESTIÓN,Gastos de Administración Anualizados / Activo Productivo Promedio,B. BBVA Perú,2.933166372735249
2026-03,EFICIENCIA Y GESTIÓN,Gastos de Administración Anualizados / Activo Productivo Promedio,BANCOM,4.8515766303465835
2026-03,EFICIENCIA Y GESTIÓN,Gastos de Administración Anualizados / Activo Productivo Promedio,B. De Crédito del Perú (con sucursales en el exterior),3.3870991834424324
2026-03,EFICIENCIA Y GESTIÓN,Gastos de Administración Anualizados / Activo Productivo Promedio,B. Pichincha,2.515639966726871
2026-03,EFICIENCIA Y GESTIÓN,Gastos de Administración Anualizados / Activo Productivo Promedio,B. Interamericano de Finanzas,1.8972847452583868
2026-03,EFICIENCIA Y GESTIÓN,Gastos de Administración Anualizados / Activo Productivo Promedio,Scotiabank Perú,2.589657032463102
2026-03,EFICIENCIA Y GESTIÓN,Gastos de Administración Anualizados / Activo Productivo Promedio,Citibank,3.253375985659042
2026-03,EFICIENCIA Y GESTIÓN,Gastos de Administración Anualizados / Activo Productivo Promedio,Interbank,2.8316512843293578
2026-03,EFICIENCIA Y GESTIÓN,Gastos de Administración Anualizados / Activo Productivo Promedio,Mibanco,7.785468054057013
2026-03,EFICIENCIA Y GESTIÓN,Gastos de Administración Anualizados / Activo Productivo Promedio,B. GNB,2.1913588350858406
2026-03,EFICIENCIA Y GESTIÓN,Gastos de Administración Anualizados / Activo Productivo Promedio,B. Falabella Perú,13.457448728860486
2026-03,EFICIENCIA Y GESTIÓN,Gastos de Administración Anualizados / Activo Productivo Promedio,B. Santander Perú,2.4008828415766863
2026-03,EFICIENCIA Y GESTIÓN,Gastos de Administración Anualizados / Activo Productivo Promedio,B. Ripley,14.86867535238971
2026-03,EFICIENCIA Y GESTIÓN,Gastos de Administración Anualizados / Activo Productivo Promedio,Alfin Banco,10.988892391156432
2026-03,EFICIENCIA Y GESTIÓN,Gastos de Administración Anualizados / Activo Productivo Promedio,B. ICBC,1.2717218249146378
2026-03,EFICIENCIA Y GESTIÓN,Gastos de Administración Anualizados / Activo Productivo Promedio,Bank of China,1.0874729239249048
2026-03,EFICIENCIA Y GESTIÓN,Gastos de Administración Anualizados / Activo Productivo Promedio,B. BCI Perú,1.600785196969391
2026-03,EFICIENCIA Y GESTIÓN,Gastos de Administración Anualizados / Activo Productivo Promedio,Compartamos Banco,15.83300562978763
2026-03,EFICIENCIA Y GESTIÓN,Gastos de Administración Anualizados / Activo Productivo Promedio,Santander Consumer Bank,13.455051561378015
2026-03,EFICIENCIA Y GESTIÓN,Gastos de Operación / Margen Financiero Total,B. BBVA Perú,40.07283912043039
2026-03,EFICIENCIA Y GESTIÓN,Gastos de Operación / Margen Financiero Total,BANCOM,55.9118564507384
2026-03,EFICIENCIA Y GESTIÓN,Gastos de Operación / Margen Financiero Total,B. De Crédito del Perú (con sucursales en el exterior),37.25885465381224
2026-03,EFICIENCIA Y GESTIÓN,Gastos de Operación / Margen Financiero Total,B. Pichincha,43.643827270425604
2026-03,EFICIENCIA Y GESTIÓN,Gastos de Operación / Margen Financiero Total,B. Interamericano de Finanzas,45.16035866441541
2026-03,EFICIENCIA Y GESTIÓN,Gastos de Operación / Margen Financiero Total,Scotiabank Perú,44.28985506145279
2026-03,EFICIENCIA Y GESTIÓN,Gastos de Operación / Margen Financiero Total,Citibank,43.491594543599014
2026-03,EFICIENCIA Y GESTIÓN,Gastos de Operación / Margen Financiero Total,Interbank,42.72459468383787
2026-03,EFICIENCIA Y GESTIÓN,Gastos de Operación / Margen Financiero Total,Mibanco,49.14564396184616
2026-03,EFICIENCIA Y GESTIÓN,Gastos de Operación / Margen Financiero Total,B. GNB,61.187226703711794
2026-03,EFICIENCIA Y GESTIÓN,Gastos de Operación / Margen Financiero Total,B. Falabella Perú,46.32277434410901
2026-03,EFICIENCIA Y GESTIÓN,Gastos de Operación / Margen Financiero Total,B. Santander Perú,37.340555220931485
2026-03,EFICIENCIA Y GESTIÓN,Gastos de Operación / Margen Financiero Total,B. Ripley,55.42942952565812
2026-03,EFICIENCIA Y GESTIÓN,Gastos de Operación / Margen Financiero Total,Alfin Banco,56.44330737122824
2026-03,EFICIENCIA Y GESTIÓN,Gastos de Operación / Margen Financiero Total,B. ICBC,38.29839636580827
2026-03,EFICIENCIA Y GESTIÓN,Gastos de Operación / Margen Financiero Total,Bank of China,63.45113618722337
