periodo,tipo_entidad,entidad,clasificadora,rating_letra,rating_ordinal
2012 - MARZO,Seguros,Mapfre Peru (Abs),Class y Asociados S.A.,A,9.0
2012 - MARZO,Seguros,Mapfre Peru (Abs),PCR (Pacific Credit Rating),A,9.0
2012 - MARZO,Banco,MIBANCO,Class y Asociados S.A.,A,9.0
2012 - MARZO,Banco,MIBANCO,PCR (Pacific Credit Rating),A,9.0
2012 - MARZO,Banco,NACION,Apoyo y Asociados Internacionales,A,9.0
2012 - MARZO,Banco,NACION,Moodys Local PE Clasificadora de Riesgo,A,9.0
2012 - MARZO,Seguros,Pacífico Seguros,Apoyo y Asociados Internacionales,A+,10.0
2012 - MARZO,Seguros,Pacífico Seguros,Moodys Local PE Clasificadora de Riesgo,A+,10.0
2012 - MARZO,Seguros,Pacifico Seguros-Abs,Apoyo y Asociados Internacionales,A,9.0
2012 - MARZO,Seguros,Pacifico Seguros-Abs,Moodys Local PE Clasificadora de Riesgo,A,9.0
2012 - MARZO,Seguros,Protecta,Class y Asociados S.A.,A-,8.0
2012 - MARZO,Seguros,Protecta,PCR (Pacific Credit Rating),A,9.0
2012 - MARZO,Seguros,Rímac Seguros,Apoyo y Asociados Internacionales,A+,10.0
2012 - MARZO,Seguros,Rímac Seguros,Moodys Local PE Clasificadora de Riesgo,A+,10.0
2012 - MARZO,Banco,SANTANDER PERU,Moodys Local PE Clasificadora de Riesgo,A,9.0
2012 - MARZO,Banco,SANTANDER PERU,PCR (Pacific Credit Rating),A,9.0
2012 - MARZO,Banco,SCOTIABANK PERU,Apoyo y Asociados Internacionales,A+,10.0
2012 - MARZO,Banco,SCOTIABANK PERU,Class y Asociados S.A.,A+,10.0
2012 - MARZO,Seguros,SEGUROS SURA,Class y Asociados S.A.,A,9.0
2012 - MARZO,Seguros,SEGUROS SURA,Moodys Local PE Clasificadora de Riesgo,A,9.0
2012 - SEPTIEMBRE,Banco,AGROBANCO,Apoyo y Asociados Internacionales,B+,7.0
2012 - SEPTIEMBRE,Banco,AGROBANCO,Moodys Local PE Clasificadora de Riesgo,B+,7.0
2012 - SEPTIEMBRE,Banco,ALFIN BANCO,Apoyo y Asociados Internacionales,B-,5.0
2012 - SEPTIEMBRE,Banco,ALFIN BANCO,Moodys Local PE Clasificadora de Riesgo,B,6.0
2012 - SEPTIEMBRE,Financiera,AMERIKA FINANC. EL,Class y Asociados S.A.,B+,7.0
2012 - SEPTIEMBRE,Financiera,AMERIKA FINANC. EL,Moodys Local PE Clasificadora de Riesgo,B+,7.0
2012 - SEPTIEMBRE,Banco,BANBIF,Class y Asociados S.A.,A,9.0
2012 - SEPTIEMBRE,Banco,BANBIF,PCR (Pacific Credit Rating),A,9.0
2012 - SEPTIEMBRE,Banco,BANCO DE CREDITO,Apoyo y Asociados Internacionales,A+,10.0
2012 - SEPTIEMBRE,Banco,BANCO DE CREDITO,Moodys Local PE Clasificadora de Riesgo,A+,10.0
2012 - SEPTIEMBRE,Banco,BANCO EFECTIVA,Class y Asociados S.A.,B+,7.0
2012 - SEPTIEMBRE,Banco,BANCO EFECTIVA,Moodys Local PE Clasificadora de Riesgo,B,6.0
2012 - SEPTIEMBRE,Banco,BANCO FALABELLA,Apoyo y Asociados Internacionales,A-,8.0
2012 - SEPTIEMBRE,Banco,BANCO FALABELLA,Class y Asociados S.A.,A-,8.0
2012 - SEPTIEMBRE,Banco,BANCO FALABELLA,Moodys Local PE Clasificadora de Riesgo,A-,8.0
2012 - SEPTIEMBRE,Banco,BANCO GNB,Apoyo y Asociados Internacionales,A,9.0
2012 - SEPTIEMBRE,Banco,BANCO GNB,Moodys Local PE Clasificadora de Riesgo,A-,8.0
2012 - SEPTIEMBRE,Banco,BANCO PICHINCHA,Moodys Local PE Clasificadora de Riesgo,A-,8.0
2012 - SEPTIEMBRE,Banco,BANCO PICHINCHA,PCR (Pacific Credit Rating),A-,8.0
2012 - SEPTIEMBRE,Banco,BANCO RIPLEY,Apoyo y Asociados Internacionales,B+,7.0
2012 - SEPTIEMBRE,Banco,BANCO RIPLEY,Class y Asociados S.A.,A-,8.0
2012 - SEPTIEMBRE,Banco,BANCOM,Moodys Local PE Clasificadora de Riesgo,B,6.0
2012 - SEPTIEMBRE,Banco,BANCOM,PCR (Pacific Credit Rating),B+,7.0
