periodo,seccion,indicador,entidad,valor
2015-04,EFICIENCIA Y GESTIÓN,Gastos de Administración Anualizados / Activo Productivo Promedio,B. Santander Perú,1.3066305009807977
2015-04,EFICIENCIA Y GESTIÓN,Gastos de Administración Anualizados / Activo Productivo Promedio,B. Ripley,18.009081010158724
2015-04,EFICIENCIA Y GESTIÓN,Gastos de Administración Anualizados / Activo Productivo Promedio,B. Azteca Perú,16.135625757179398
2015-04,EFICIENCIA Y GESTIÓN,Gastos de Administración Anualizados / Activo Productivo Promedio,Deutsche Bank Perú,3.9074709345894596
2015-04,EFICIENCIA Y GESTIÓN,Gastos de Administración Anualizados / Activo Productivo Promedio,B. Cencosud,29.801023220129213
2015-04,EFICIENCIA Y GESTIÓN,Gastos de Administración Anualizados / Activo Productivo Promedio,B. ICBC,4.584859597837445
2015-04,EFICIENCIA Y GESTIÓN,Gastos de Operación / Margen Financiero Total,B. Continental,37.98632289519521
2015-04,EFICIENCIA Y GESTIÓN,Gastos de Operación / Margen Financiero Total,B. De Comercio,52.83579484674673
2015-04,EFICIENCIA Y GESTIÓN,Gastos de Operación / Margen Financiero Total,B. De Crédito del Perú (con sucursales en el exterior),35.29659950827622
2015-04,EFICIENCIA Y GESTIÓN,Gastos de Operación / Margen Financiero Total,B. Financiero,56.71324801378148
2015-04,EFICIENCIA Y GESTIÓN,Gastos de Operación / Margen Financiero Total,B. Interamericano de Finanzas,48.24661728352231
2015-04,EFICIENCIA Y GESTIÓN,Gastos de Operación / Margen Financiero Total,Scotiabank Perú (con Sucursales en el Exterior),38.83593582534911
2015-04,EFICIENCIA Y GESTIÓN,Gastos de Operación / Margen Financiero Total,Citibank,75.68868348974473
2015-04,EFICIENCIA Y GESTIÓN,Gastos de Operación / Margen Financiero Total,Interbank (con sucursales en el exterior),43.20151721991937
2015-04,EFICIENCIA Y GESTIÓN,Gastos de Operación / Margen Financiero Total,Mibanco,63.1059677990246
2015-04,EFICIENCIA Y GESTIÓN,Gastos de Operación / Margen Financiero Total,B. GNB,55.82244486656332
2015-04,EFICIENCIA Y GESTIÓN,Gastos de Operación / Margen Financiero Total,B. Falabella Perú,62.29279567322921
2015-04,EFICIENCIA Y GESTIÓN,Gastos de Operación / Margen Financiero Total,B. Santander Perú,34.97925493582887
2015-04,EFICIENCIA Y GESTIÓN,Gastos de Operación / Margen Financiero Total,B. Ripley,64.19594388432773
2015-04,EFICIENCIA Y GESTIÓN,Gastos de Operación / Margen Financiero Total,B. Azteca Perú,48.264631889735554
2015-04,EFICIENCIA Y GESTIÓN,Gastos de Operación / Margen Financiero Total,Deutsche Bank Perú,33.505060972199324
